1,Luara,bella00@example.org,07/09/2021,F,RS,01/08/2025
2,Bruna,irodrigues@example.com,07/11/2007,F,DF,01/08/2025
3,Calebe,vargasbenjamin@example.org,11/06/1979,M,RJ,01/08/2025
4,Otto,jose-miguel63@example.net,14/04/1954,M,CE,01/08/2025
5,Milena,bellada-mota@example.org,03/11/1962,F,SC,01/08/2025
6,Benicio,tgoncalves@example.com,21/08/1988,M,MG,01/08/2025
7,Yago,anthony-gabriel53@example.com,17/07/1975,M,AL,01/08/2025
8,Lunna,znunes@example.org,30/04/1979,F,MA,01/08/2025
9,Emanuel,lbarros@example.net,20/07/1961,M,RN,01/08/2025
10,Arthur Miguel,maitecosta@example.com,17/08/1984,M,RR,01/08/2025
